1003	79
1003	133
1003	167
1003	827
1003	1481
1003	1733
1003	2411
1003	2968
1003	3136
1003	3210
1003	3853
1003	3970
1003	3982
1003	4544
1003	5256
1003	5401
1003	5703
1003	5784
1003	5793
1003	5920
1003	6209
1003	6526
1003	6981
1003	7008
1003	7489
1003	8590
1004	3704
1004	4406
1004	4825
1004	5645
1004	6229
1004	6757
1004	7650
1004	8649
1004	9560
1004	10030
1004	10387
1004	12437
1005	1296
1005	4708
1005	5792
1005	6504
1005	6531
1005	8378
1005	11035
1006	2442
1006	6428
1006	10279
1006	10422
1007	1904
1007	2405
1007	3939
1007	4586
1007	5026
1007	5599
1007	6965
1007	7838
1007	9208
1007	9961
1007	10187
1007	11504
1007	12322
1008	1895
1008	2729
1008	4082
1008	4199
1008	4807
1008	4995
1008	5874
1008	6536
1008	6800
1008	6892
1008	7972
1008	8000
1008	8833
1008	9039
1008	9309
1008	9362
1008	9591
1008	9734
1008	10426
1008	10532
1008	10635
1008	11124
1008	11164
1008	11978
1008	12163
1008	12410
1009	1437
1009	1914
1009	2104
1009	3745
1009	5540
1009	5809
1009	5922
1009	5985
1009	6477
1009	6513
1009	6764
1009	7767
1009	7919
1009	8081
1009	8433
1009	8828
1009	9211
1009	11591
1009	11682
1010	56
1010	104
1010	168
1010	857
1010	1253
1010	1654
1010	2040
1010	3553
1010	3981
1010	4009
1010	4072
1010	4206
1010	5277
1010	7251
1010	8094
1010	8143
1010	10160
1010	10428
1011	64
1011	411
1011	765
1011	1586
1011	2781
1011	4666
1011	5598
1011	6309
1011	7069
1011	8042
1011	9426
1011	11914
1012	37
1012	1092
1012	3363
1012	3407
1012	6588
1012	9994
1013	873
1013	5528
1013	6270
1013	9534
1013	11355
1014	1346
1014	2471
1014	2769
1014	4790
1014	5119
1014	7296
1014	10491
1015	1344
1015	1408
1015	1944
1015	2716
1015	4142
1015	9972
1015	11865
1015	12238
1016	20
1016	244
1016	820
1016	2253
1016	2632
1016	2994
1016	3878
1016	4143
1016	6842
1016	10109
1016	11278
1016	11425
1016	12215
1017	2787
1017	3707
1017	4014
1017	8196
1017	9133
1017	10164
1017	10690
1017	12326
1018	26
1018	1892
1018	2818
1018	3757
1018	6414
1018	6856
1018	7114
1018	7425
1018	8458
1018	10386
1018	11007
1018	11083
1018	11663
1018	11690
1018	12184
1019	688
1019	1397
1019	1862
1019	3382
1019	3928
1019	5684
1019	10354
1019	11777
1020	427
1020	657
1020	1014
1020	2155
1020	2428
1020	2626
1020	2763
1020	3001
1020	4749
1020	5919
1020	6113
